ID,Code,Location,Sub-location,Category,Product,Attribute,Official Name,Name on Stocklist,Nagivation Guide
104,CIT-VAL,Inside Coolroom,Citrus,Orange,Valencia,In box,Valencia,Valencia (in box),Citrus section - Left - Handwritten (Or somewhere else)
105,ASI-GRE,Inside Coolroom,Asian,Coconut,Green Skin Coconut,-,Green Skin Coconut,Colo Green Skin; Coco Green Skin,Asian section - Right side in Dried Coconut row - Handwritten (Or somewhere else)
106,STO-SUG,Inside Coolroom,Stonefruit,Plum,Sugar Crunch,-,Sugar Crunch,Sugar Crunch,Asian - Left - Handwritten (Or somewhere else)
107,STO-SUG,Inside Coolroom,Stonefruit,Plum,Sugar Plumcot,-,Sugar Plumcot,Sugar plumcot,Asian - Left - Handwritten (Or somewhere else)
108,STO-SUG,Inside Coolroom,Stonefruit,Plum,Sugar Plum,-,Sugar Plum,Sugar plum,Asian - Left - Handwritten (Or somewhere else)
109,STO-BLU,Inside Coolroom,Stonefruit,Plum,Blueberry Plum,-,Blueberry Plum,Blueberry plum,Asian - Left - Handwritten (Or somewhere else)
110,STO-PAR,Inside Coolroom,Stonefruit,Plum,Paradise Peach,-,Paradise Plum,Paradise Peach; Paradise Plum,Asian - Left - Handwritten  (Or somewhere else)
111,STO-CHE,Inside Coolroom,Stonefruit,Plum,Cherry Plum,-,Cherry Plum,Cherry plum,Asian - Left - Handwritten
112,STO-PLU,Inside Coolroom,Stonefruit,Plumcot,Plumcot,-,Plumcot,Plumcot; Sugar plumcot,Asian - Left - Handwritten
113,STO-GOL,Inside Coolroom,Stonefruit,Plumcot,Golden Plumcot,-,Golden Plumcot,Golden Plumcot,Asian - Left - Handwritten
114,ASI-PAR,Inside Coolroom,Asian,Pear,Paradise Pear,-,Paradise Pear,Paradise pear,Asian section - Left - Handwritten
115,ASI-JUJ,Inside Coolroom,Asian,Tropical,Jujube,-,Jujube,JuJube,Asian section - Left - Handwritten
116,SEA-PAS,Inside Coolroom,Seasonal,Tropical,Passion Fruit,-,Passion Fruit,Passion fruit,Outside Coolroom - Left - Handwritten
117,SEA-FIG,Inside Coolroom,Seasonal,Tropical,Fig,-,Fig,Fig; Zig; Figs; Zigs,Outside Coolroom - Left - Handwritten
118,ALL-HAS,Inside Coolroom,All Year,Avocado,Hass Avocado,18kg,Hass Avocado,Hass (18),All Year section - Left side in section header row - Handwritten
119,ALL-SHE,Inside Coolroom,All Year,Avocado,Shepard Avocado,18kg,Shepard Avocado,Shepard (18),All Year section - Left side in section header row - Handwritten
120,ALL-REE,Inside Coolroom,All Year,Avocado,Reed Avocado,-,Reed Avocado,Packing Reed,All Year section - Right side in Packing row - Handwritten
121,ALL-KIW-RED,Inside Coolroom,All Year,Kiwi,Kiwi,Red,,Red Kiwi,All Year section - Right side in Gold Kiwi row - Handwritten
122,ALL-KIW,Inside Coolroom,All Year,Kiwi,Kiwi Berry,-,Kiwi Berry,Kiwi berry,All Year section - Left - Handwritten
123,SEA-KYO,Inside Coolroom,Seasonal,Grape,Kyoho Grape,1kg,Kyoho Grape,Kyoho (1kg),Seasonal section - Left side in section header row - Handwritten
124,SEA-AUT-LOO,Inside Coolroom,Seasonal,Grape,Autumn Crisp Grape,Loose,Autumn Crisp Loose,Autumn Crisp loose,Seasonal section - Left - Handwritten
125,SEA-AUT-BAG,Inside Coolroom,Seasonal,Grape,Autumn Crisp Grape,Bag,Autumn Crisp Bag,Autumn Crisp bag,Seasonal section - Left - Handwritten
126,SEA-AUT-ORA,Inside Coolroom,Seasonal,Grape,Autumn Crisp Grape,Orange Box,Autumn Crisp Loose,Autumn Crisp (orange box),Seasonal section - Left - Handwritten
127,SEA-COT,Inside Coolroom,Seasonal,Grape,Cotton Candy Grape,-,Cotton Candy Grape,Cotton candy,Seasonal section - Right side in Walnut row - Handwritten
128,SEA-SAP,Inside Coolroom,Seasonal,Grape,Sapphire Black Grape,-,Sapphire Black Grape,Sapphire black,Seasonal section - Left - Handwritten
129,STO-TUR,Inside Coolroom,Stonefruit,Plum,Turtle Egg Plum,-,Turtle Egg Plum,Turtle Egg plum,Stonefruit section - Left - Handwritten
130,STO-DON,Inside Coolroom,Stonefruit,Peach,Donut Peach,-,Donut Peach,Donut Peach,Stonefruit section - Left - Handwritten
131,ASI-TAI,Inside Coolroom,Asian,Mango,Taiwan Mango,-,Taiwan Mango,Taiwan Mango,Outside Coolroom - Right side in Keitt Mango row - Handwritten
132,ASI-KOR,Inside Coolroom,Asian,Melon,Korean Melon,-,Korean Melon,Korean Melon,Outside Coolroom - Right - Handwritten
133,ASI-DRI,Inside Coolroom,Asian,Persimmon,Dried Persimmon,-,Dried Persimmon,Dried Persimmon,Outside Coolroom - Left - Handwritten (below table)
